Timestamp,ActionType,FileName,FolderPath,SHA256,RiskScore
"Jul 26, 2025 7:56:18 AM",FileCreated,sv_FRE_Tutorial_Share.js,C:\Users\Rafi03\AppData\Local\Microsoft\OneDrive\25.127.0701.0006\images\darkTheme\sv_FRE_Tutorial_Share.js,c13b3383d59f7c16bfcc4b1f64f57f3a931a764fe3d96344de9de84f4abb2a7c,3
"Jul 26, 2025 7:56:19 AM",FileCreated,FRE_Tutorial_Intro.js,C:\Users\Rafi03\AppData\Local\Microsoft\OneDrive\25.127.0701.0006\images\lightTheme\FRE_Tutorial_Intro.js,dce5d7c27bdd0ffac3e1e0ae6b92325657da5c60f96b751b6738ef3aa3582648,3
"Jul 26, 2025 7:56:19 AM",FileCreated,FRE_Tutorial_Mobile.js,C:\Users\Rafi03\AppData\Local\Microsoft\OneDrive\25.127.0701.0006\images\lightTheme\FRE_Tutorial_Mobile.js,c34dc963c259947db03273249f93cf4dbf7c3a8345cf3edaa18d520fb12a63c0,3
"Jul 26, 2025 7:56:19 AM",FileCreated,FRE_Tutorial_Share.js,C:\Users\Rafi03\AppData\Local\Microsoft\OneDrive\25.127.0701.0006\images\lightTheme\FRE_Tutorial_Share.js,373d4f4b213faf3f30f665263df8d8d5b3efeb85814b4e3b8f53e27207867b8a,3
"Jul 26, 2025 7:56:19 AM",FileCreated,mac_FRE_Tutorial_Intro.js,C:\Users\Rafi03\AppData\Local\Microsoft\OneDrive\25.127.0701.0006\images\lightTheme\mac_FRE_Tutorial_Intro.js,3e28183f232308d342a1587c9f58df623a1e79d2a6c6d28712257273bef1fd8a,3
"Jul 26, 2025 7:56:19 AM",FileCreated,mac_FRE_Tutorial_Share.js,C:\Users\Rafi03\AppData\Local\Microsoft\OneDrive\25.127.0701.0006\images\lightTheme\mac_FRE_Tutorial_Share.js,f44beee05630cdec991c3728117d154a608db281a9cfc689f878229fd3c5fa0b,3
"Jul 26, 2025 7:56:19 AM",FileCreated,sv_FRE_Tutorial_Intro.js,C:\Users\Rafi03\AppData\Local\Microsoft\OneDrive\25.127.0701.0006\images\lightTheme\sv_FRE_Tutorial_Intro.js,07d8fc75624d82b39bc8e121b74bff60f2e07bebd4253ab6576d46642bd0c7c5,3
"Jul 26, 2025 7:56:19 AM",FileCreated,sv_FRE_Tutorial_Share.js,C:\Users\Rafi03\AppData\Local\Microsoft\OneDrive\25.127.0701.0006\images\lightTheme\sv_FRE_Tutorial_Share.js,5878da6be0244173446abf576516640cbd9efa6fcda21ae6de55e3e17e896753,3
"Jul 26, 2025 12:00:05 PM",FileCreated,AccessibleMarshal.dll,C:\Users\Rafi03\Desktop\Tor Browser\Browser\AccessibleMarshal.dll,5cb8fdd29b0440b6f11ff3c6a2dcad4c9705997a997457db9651c6eb35a29776,3
"Jul 26, 2025 12:00:05 PM",FileCreated,d3dcompiler_47.dll,C:\Users\Rafi03\Desktop\Tor Browser\Browser\d3dcompiler_47.dll,25ebdf571d4c8dbca43c848a73cea72473da41927064d1399ce5a8c3daa7d0ea,3
"Jul 26, 2025 12:00:05 PM",FileCreated,firefox.VisualElementsManifest.xml,C:\Users\Rafi03\Desktop\Tor Browser\Browser\firefox.VisualElementsManifest.xml,2335babeccba32a1f076f5835dbc025fbc020fafeac6fd21912e97cbf000aa1a,3
"Jul 26, 2025 12:00:05 PM",FileCreated,freebl3.dll,C:\Users\Rafi03\Desktop\Tor Browser\Browser\freebl3.dll,ab8b2839f357654d40136c4afda301254ca40f9876949d1069d6b4bf382848f3,3
"Jul 26, 2025 12:00:07 PM",FileCreated,gkcodecs.dll,C:\Users\Rafi03\Desktop\Tor Browser\Browser\gkcodecs.dll,53694de609c8cc81c325034f42e1f8ea1a509d42a6a40652157da48a31caa800,3
"Jul 26, 2025 12:00:07 PM",FileCreated,ipcclientcerts.dll,C:\Users\Rafi03\Desktop\Tor Browser\Browser\ipcclientcerts.dll,a50979d56c05d15111c83d5325fcd65b68b8e9425a0e3d6253e5d1b067f75b81,3
"Jul 26, 2025 12:00:07 PM",FileCreated,lgpllibs.dll,C:\Users\Rafi03\Desktop\Tor Browser\Browser\lgpllibs.dll,4262457452b701919a9f1796226649536f997e68fe3ad33c4add822f03cb1f1b,3
"Jul 26, 2025 12:00:07 PM",FileCreated,libEGL.dll,C:\Users\Rafi03\Desktop\Tor Browser\Browser\libEGL.dll,106e7ce0540f72086045eea4cb1f5097799ca5f3bb7132a04b63bc09535ab13b,3
"Jul 26, 2025 12:00:08 PM",FileCreated,libGLESv2.dll,C:\Users\Rafi03\Desktop\Tor Browser\Browser\libGLESv2.dll,10479c3727f6d1d29785a30fe1d9da035596f8be4260a7504529de031cd2ffbf,3
"Jul 26, 2025 12:00:08 PM",FileCreated,mozavcodec.dll,C:\Users\Rafi03\Desktop\Tor Browser\Browser\mozavcodec.dll,5bdcea3305229fad07786ca611c5edea7e69c6ef985cc1f0fcbbcb45c7e59133,3
"Jul 26, 2025 12:00:10 PM",FileCreated,mozavutil.dll,C:\Users\Rafi03\Desktop\Tor Browser\Browser\mozavutil.dll,bd181c60149d2897ac56cb4f9903bdf404c7f883997bf0fa105f0abdf139b4cf,3
"Jul 26, 2025 12:00:10 PM",FileCreated,mozglue.dll,C:\Users\Rafi03\Desktop\Tor Browser\Browser\mozglue.dll,046fce99b967ca114744f3e278ad406244b71ee2718ef346299f2ef9a5b9f4c1,3
"Jul 26, 2025 12:00:10 PM",FileCreated,nss3.dll,C:\Users\Rafi03\Desktop\Tor Browser\Browser\nss3.dll,ab362a9f2daea277e55aaeabbe06f75251ac02d255363b5f9fea2a8453cc14fa,3
"Jul 26, 2025 12:00:10 PM",FileCreated,nssckbi.dll,C:\Users\Rafi03\Desktop\Tor Browser\Browser\nssckbi.dll,e05dfa68965963ae5d2d402adceb8fd9ef80980f23417349d27c480ec0ce6685,3
"Jul 26, 2025 12:00:14 PM",FileCreated,osclientcerts.dll,C:\Users\Rafi03\Desktop\Tor Browser\Browser\osclientcerts.dll,9336b31a2e1dd793ce075d9c96126d9e88cb2d9fdac7c4e70c318ac3017c9cd5,3
"Jul 26, 2025 12:00:14 PM",FileCreated,softokn3.dll,C:\Users\Rafi03\Desktop\Tor Browser\Browser\softokn3.dll,829f5e3490c969b40663da4ab7ad098ba038b01a564af81e6bbd1cad7224d85b,3
"Jul 26, 2025 12:00:30 PM",FileCreated,xul.dll,C:\Users\Rafi03\Desktop\Tor Browser\Browser\xul.dll,fc10c221244009ce6333148520a1eba00d9dd90b456114ed1750e66424cecd00,3
"Jul 26, 2025 12:00:31 PM",FileCreated,{73a6fe31-595d-460b-a920-fcc0f8843232}.xpi,C:\Users\Rafi03\Desktop\Tor Browser\Browser\TorBrowser\Data\Browser\profile.default\extensions\{73a6fe31-595d-460b-a920-fcc0f8843232}.xpi,9d978cfe083cb9cce120b5ee41e8933d752d7ab4680bf517c5ec4b29c4cfd2dc,3
"Jul 26, 2025 12:00:32 PM",FileCreated,ChangeLog.txt,C:\Users\Rafi03\Desktop\Tor Browser\Browser\TorBrowser\Docs\ChangeLog.txt,053225af9ef836298fbb5ba743ae57f97d29e9b79fe4d5d46515b910d98005b1,3
"Jul 26, 2025 12:00:32 PM",FileCreated,Firefox.txt,C:\Users\Rafi03\Desktop\Tor Browser\Browser\TorBrowser\Docs\Licenses\Firefox.txt,fab3dd6bdab226f1c08630b1dd917e11fcb4ec5e1e020e2c16f83a0a13863e85,3
"Jul 26, 2025 12:00:32 PM",FileCreated,NoScript.txt,C:\Users\Rafi03\Desktop\Tor Browser\Browser\TorBrowser\Docs\Licenses\NoScript.txt,2e0cc4147b05ed702509b7f2f290b105409d97419d4c75562953634e9b0faffb,3
"Jul 26, 2025 12:00:32 PM",FileCreated,Noto-CJK-Font.txt,C:\Users\Rafi03\Desktop\Tor Browser\Browser\TorBrowser\Docs\Licenses\Noto-CJK-Font.txt,6a73f9541c2de74158c0e7cf6b0a58ef774f5a780bf191f2d7ec9cc53efe2bf2,3
"Jul 26, 2025 12:00:32 PM",FileCreated,Noto-Fonts.txt,C:\Users\Rafi03\Desktop\Tor Browser\Browser\TorBrowser\Docs\Licenses\Noto-Fonts.txt,c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4,3
"Jul 26, 2025 12:00:33 PM",FileCreated,Tor-Launcher.txt,C:\Users\Rafi03\Desktop\Tor Browser\Browser\TorBrowser\Docs\Licenses\Tor-Launcher.txt,d4fd98d01e1714e6b86f3b2c721e80f593387de8b10da690625039155fa2104c,3
"Jul 26, 2025 12:00:33 PM",FileCreated,Torbutton.txt,C:\Users\Rafi03\Desktop\Tor Browser\Browser\TorBrowser\Docs\Licenses\Torbutton.txt,73b2a217734a2b37ecc0a26e5ba7d429e729f41d98ef0c09caff92f69573b625,3
"Jul 26, 2025 12:00:33 PM",FileCreated,conjure.txt,C:\Users\Rafi03\Desktop\Tor Browser\Browser\TorBrowser\Docs\Licenses\conjure.txt,0522541e3505d6669334f6eb488d4fde9c4af2234daec13170a0cf4d46d99e92,3
"Jul 26, 2025 12:00:33 PM",FileCreated,libevent.txt,C:\Users\Rafi03\Desktop\Tor Browser\Browser\TorBrowser\Docs\Licenses\libevent.txt,ff02effc9b331edcdac387d198691bfa3e575e7d244ad10cb826aa51ef085670,3
"Jul 26, 2025 12:00:33 PM",FileCreated,lyrebird.txt,C:\Users\Rafi03\Desktop\Tor Browser\Browser\TorBrowser\Docs\Licenses\lyrebird.txt,1db9e9e20417d4ddd26f2d1d3e5a39700794ed75a4616fb9ba88edce13884df9,3
"Jul 26, 2025 12:00:33 PM",FileCreated,openssl.txt,C:\Users\Rafi03\Desktop\Tor Browser\Browser\TorBrowser\Docs\Licenses\openssl.txt,7d5450cb2d142651b8afa315b5f238efc805dad827d91ba367d8516bc9d49e7a,3
"Jul 26, 2025 12:00:33 PM",FileCreated,tor.txt,C:\Users\Rafi03\Desktop\Tor Browser\Browser\TorBrowser\Docs\Licenses\tor.txt,47b54ed17e8fdcab3c44729a1789a09b208f9a63a845a7e50def9df729eebad0,3
"Jul 26, 2025 12:00:33 PM",FileCreated,zlib.txt,C:\Users\Rafi03\Desktop\Tor Browser\Browser\TorBrowser\Docs\Licenses\zlib.txt,845efc77857d485d91fb3e0b884aaa929368c717ae8186b66fe1ed2495753243,3
"Jul 26, 2025 12:00:41 PM",FileCreated,VisualElements_150.png,C:\Users\Rafi03\Desktop\Tor Browser\Browser\browser\VisualElements\VisualElements_150.png,8c77bb6cb8484a0ea81d48275c7bfc05a15bb1a788725ef23eeb8c7e640db7f1,3
"Jul 26, 2025 12:00:41 PM",FileCreated,VisualElements_150.png,C:\Users\Rafi03\Desktop\Tor Browser\Browser\browser\VisualElements\VisualElements_150.png,8c77bb6cb8484a0ea81d48275c7bfc05a15bb1a788725ef23eeb8c7e640db7f1,3
"Jul 26, 2025 12:00:41 PM",FileCreated,VisualElements_70.png,C:\Users\Rafi03\Desktop\Tor Browser\Browser\browser\VisualElements\VisualElements_70.png,35008f212eccfa81cdfeb6928571bcb8e8f689d8c8d940827682d37bc1bcdf06,3
